quality_arr,model_idx,min_quality,max_quality,mean_quality,std_quality
"[0.90113324 0.90333694 0.90633947 0.91074955 0.9140698  0.94384587
 0.9406404  0.91484535 0.9407127  0.93683803 0.91274285 0.93196625
 0.9066737  0.9164538  0.9226218  0.92125225 0.917533   0.95565337
 0.9640062  0.9141084  0.95254266 0.9638907  0.9509782  0.9105631
 0.94738597 0.9594404  0.9485666  0.9083867  0.9408805  0.9510703
 0.9076772  0.9328792  0.9377192  0.9068373  0.92211956 0.9303003
 0.9222944  0.96193904 0.9739679  0.9117851  0.95615554 0.97354764
 0.9701865  0.90073186 0.9491012  0.9706002  0.97234243 0.9425361
 0.9417253  0.966109   0.97036433 0.9444674  0.9353104  0.9605909
 0.9650631  0.93004984 0.9533131  0.95482486 0.9263162  0.9428862
 0.91942817 0.9137174  0.9274201  0.9228771  0.9618384  0.9734281
 0.9094086  0.95591325 0.97564256 0.973941   0.94665545 0.97298497
 0.9789306  0.9561148  0.93722427 0.9694027  0.97985715 0.96523726
 0.9284228  0.96543634 0.97858375 0.96706176 0.9212661  0.96120936
 0.9756489  0.9162839  0.95598483 0.9699014  0.9153095  0.9495553
 0.91450936 0.92190117 0.91090864 0.9486605  0.9547704  0.9031671
 0.9502718  0.96952945 0.9626294  0.94094616 0.9703698  0.97667086
 0.9492053  0.93003196 0.96751165 0.9809603  0.96811277 0.92122334
 0.9650868  0.9822619  0.9758194  0.9129791  0.96241415 0.9818246
 0.9777519  0.9047388  0.95866525 0.97980154 0.9534165  0.94753444
 0.90521055 0.93412316 0.9453686  0.9197644  0.9341275  0.96124464
 0.96065545 0.91379225 0.9220243  0.9619918  0.9752627  0.9552936
 0.91143507 0.9602097  0.9802107  0.9732021  0.9063002  0.9602376
 0.98258823 0.98063785 0.90089464 0.95950735 0.98306936 0.9827819
 0.95618635 0.9814588  0.9504546  0.92130214 0.93603307 0.92074496
 0.95364136 0.9568225  0.9072668  0.9549788  0.9728541  0.9546392
 0.97884053 0.9744496  0.95696175 0.9822576  0.9821076  0.95799416
 0.98345715 0.9554064  0.9140177  0.9487672  0.90155333 0.9513278
 0.9518281  0.97752804 0.9549321  0.9814464  0.9570013  0.9557206
 0.9817992  0.9509725  0.90482175 0.95089394 0.9529707  0.9549868
 0.980925   0.9550705  0.95172226 0.9435827  0.90362376 0.95097643
 0.9512906  0.9517485  0.9015527  0.90047556 0.94600296]",19,0.90047556,0.98345715,0.94642234,0.024647176
"[0.90571266 0.90300417 0.9133082  0.9085911  0.9024396  0.922708
 0.9203635  0.91546834 0.9353934  0.93259984 0.92699176 0.94287926
 0.91401994 0.9401968  0.9479876  0.90135723 0.93293    0.9492187
 0.9100297  0.934189   0.90551406 0.907054   0.9236904  0.93845856
 0.9307999  0.9522258  0.9366058  0.95923656 0.9019047  0.94475585
 0.96357125 0.9256956  0.9563842  0.9657876  0.91656846 0.9494213
 0.9649402  0.90263027 0.9374012  0.9581925  0.9012399  0.9298919
 0.9089808  0.92205405 0.9430888  0.9191643  0.95428914 0.9135558
 0.9589513  0.91268086 0.96280086 0.92083555 0.96727407 0.9393079
 0.97230464 0.9186227  0.9576398  0.973612   0.9058792  0.9450373
 0.9649577  0.9144183  0.94519275 0.92207366 0.91435546 0.95381325
 0.9546545  0.9543105  0.9559746  0.9594345  0.90170765 0.9650055
 0.9297321  0.9688229  0.90417117 0.94696444 0.964516   0.91832477
 0.9442671  0.91898715 0.95480406 0.9495056  0.9459521  0.9458274
 0.9470251  0.95041674 0.95334613 0.9088404  0.94943935 0.91268086
 0.9102723  0.91242796 0.95421827 0.9452776  0.9396082  0.93707514
 0.9342801  0.9325575  0.9306401  0.9098612  0.92389965 0.9432846
 0.937569   0.9429672  0.93593115 0.9301832  0.92237675 0.91398674
 0.91303295 0.92429215 0.90267116 0.92873925 0.9478818  0.9370025
 0.9304013  0.9212248  0.9069446  0.92498076 0.93270946 0.9045971
 0.91831785 0.9120226  0.905565   0.91559833 0.9325188  0.911135
 0.9275748  0.93642837 0.90186596 0.9031499  0.9191991  0.9465245
 0.9244253  0.9613046  0.9235234  0.95518565 0.90934104 0.9248471
 0.9429259  0.9567654  0.9593024  0.9166015  0.92814755 0.93415457
 0.9380688  0.94161034 0.9406058  0.91359556 0.94106364 0.96064216
 0.9247598  0.97336686 0.91484016 0.95950013 0.90653026 0.92213213
 0.94205004 0.9603105  0.97029316 0.92330307 0.9374786  0.94507706
 0.95078725 0.95630807 0.95810616 0.90551937 0.9070017  0.9063113
 0.91041046 0.9357935  0.9528194  0.9651032  0.91671443 0.9755404
 0.9551233  0.91053456 0.93237674 0.9548688  0.9124359  0.9314181
 0.94189703 0.94997466 0.95740277 0.90250224 0.9128603  0.918273
 0.92954385 0.9472475  0.9569893  0.96465236 0.9075191  0.94777024
 0.92019606 0.9455708  0.9132163  0.92854017 0.9403601  0.95013875
 0.9021797  0.9094768  0.9053315 ]",20,0.9012399,0.9755404,0.9330763,0.020058371
"[0.9002767  0.9430543  0.94449043 0.945666   0.9472493  0.94999593
 0.9528875  0.9068742  0.9538999  0.911848   0.950429   0.907235
 0.90738666 0.95216846 0.95324546 0.9002147  0.90304834 0.90629
 0.91065013 0.9618024  0.9140625  0.9588458  0.91089606 0.9493949
 0.92646104 0.915049   0.9123843  0.95944774 0.90386164 0.9184273
 0.9181736  0.913378   0.9545058  0.90061814 0.9362376  0.9012577
 0.91311944 0.91707635 0.96109587 0.9126046  0.917176   0.9056673
 0.9435465  0.91752374 0.91088986 0.95628244 0.9111522  0.960958
 0.90205276 0.90886766 0.93071306 0.90391725 0.901786   0.95524096
 0.9036851  0.9243997  0.9058096  0.9062979  0.9385268  0.9022745
 0.9245249  0.9417096  0.90658665 0.9076611  0.93911433 0.9004538
 0.9381822  0.9032237  0.94466394 0.93385804 0.93144226 0.9395115
 0.91968435 0.90409184 0.9005509  0.9075805  0.9001639 ]",21,0.9001639,0.9618024,0.92409575,0.020347662
"[0.9158414  0.9292482  0.9331757  0.961905   0.9413414  0.97205377
 0.92191094 0.9560136  0.90569955 0.93516695 0.9113664  0.94683397
 0.9426017  0.94143796 0.9379887  0.92889684 0.91428727]",22,0.90569955,0.97205377,0.93504524,0.017631793
[0.91087514 0.9140565  0.9001268  0.90869504],30,0.9001268,0.9140565,0.9084384,0.0051635467
[0.90006095 0.90640825],32,0.90006095,0.90640825,0.9032346,0.0031736493
"[0.9148608  0.92429656 0.93604225 0.9417371  0.93136686 0.91111207
 0.9507237  0.93624705 0.939651   0.965557   0.9509536  0.9595379
 0.97352564 0.9126761  0.96435493 0.9307696  0.9433673  0.95550567
 0.95666355 0.9692662  0.9238638  0.97045666 0.9771188  0.9525379
 0.9796822  0.9786641  0.9089202  0.9659036  0.98082143 0.9078005
 0.96235496 0.92868197 0.93321997 0.9720393  0.9438424  0.9793025
 0.9594565  0.98426974 0.92180604 0.9728629  0.9855907  0.94947106
 0.9787409  0.9804459  0.956177   0.9740169  0.93904567 0.915874
 0.915035   0.97588766 0.9224985  0.97980005 0.9391453  0.9834219
 0.9574249  0.98505604 0.9186232  0.96941245 0.98167485 0.93877685
 0.96949583 0.96810865 0.93030417 0.9520512  0.900899   0.90326166
 0.9183484  0.979845   0.9397735  0.9813969  0.95705795 0.9787293
 0.9164689  0.96097887 0.9140155  0.90694255 0.92839164 0.94671214]",33,0.900899,0.9855907,0.9496245,0.0249643
"[0.9023337  0.9160393  0.9120387  0.9212348  0.93067247 0.9232805
 0.9322926  0.91910625 0.9101653  0.92072433 0.9181355  0.9165507
 0.9313112  0.93594974 0.92793953 0.9055265  0.93375474 0.9434319
 0.94110054 0.9241364  0.9351716  0.939337   0.9287513  0.90422744
 0.9219873  0.9067516  0.90881336 0.92618424 0.9350741  0.91319835
 0.92048943 0.9340604  0.94095623 0.9386958  0.90531147 0.91457874
 0.935997   0.9438412  0.9417422  0.9269361  0.92993134 0.93176687
 0.9200769  0.91288954 0.9166682  0.9047398  0.93085665 0.9255491
 0.91308033 0.93032616 0.9411224  0.9229673  0.9074867  0.9269551
 0.9375847  0.9424607  0.93895    0.9040181  0.91843647 0.9351062
 0.9399042  0.93509394 0.91724235 0.91650236 0.915074   0.9210318
 0.91283727 0.9371527  0.9083654  0.9226363  0.93542373 0.9419684
 0.9190006  0.91411674 0.9300483  0.93712425 0.9382127  0.92999756
 0.9096624  0.9252029  0.9262369  0.916933   0.9283585  0.9212084
 0.93877065 0.9141069  0.9246766  0.93271106 0.9336259  0.9019617
 0.9028038  0.92045796 0.9246589  0.92131764 0.9061129  0.92941594
 0.9017365  0.9197317  0.9301732  0.90719736 0.9028457  0.9131673
 0.91712    0.9095136  0.9152482  0.90164673 0.92146206 0.9035872
 0.907796   0.9059705  0.90076977 0.9105402 ]",34,0.90076977,0.9438412,0.92229694,0.012135365
"[0.9324494  0.9192404  0.9435658  0.9238421  0.940942   0.94599915
 0.92034346 0.9568712  0.9597953  0.9326394  0.96426797 0.9660521
 0.94251055 0.966736   0.96362954 0.94423103 0.95965344 0.9522349
 0.91782534 0.9607054  0.9711174  0.91907793 0.96395975 0.9776051
 0.96622926 0.92890614 0.9692786  0.98109514 0.97050965 0.9431243
 0.9746753  0.9817031  0.9674941  0.9547393  0.9761284  0.97637165
 0.9565905  0.9681486  0.91741484 0.94833785 0.9214643  0.9626092
 0.97291374 0.9096328  0.9619761  0.9809389  0.9592116  0.98297787
 0.983119   0.9021571  0.9618813  0.98507386 0.9852638  0.9206096
 0.9694009  0.9870303  0.98423487 0.95099074 0.9449976  0.97742575
 0.98675865 0.9779894  0.9156196  0.9615976  0.97963375 0.9799221
 0.9049989  0.93005294 0.92662424 0.96035695 0.96506226 0.9166397
 0.96373504 0.98043776 0.97362834 0.9550135  0.9829386  0.9859936
 0.94396716 0.98207366 0.9896613  0.97141105 0.9407074  0.98269093
 0.9910327  0.94939697 0.98524755 0.9909946  0.9079911  0.96565807
 0.9880518  0.98833245 0.9465596  0.97776383 0.98721987 0.96367705
 0.978174   0.92625666 0.9509823  0.94535387 0.932366   0.966258
 0.9755145  0.95909995 0.9083389  0.96107286 0.98292756 0.9430679
 0.9815168  0.9898928  0.92118794 0.9779176  0.9920212  0.98242545
 0.9088897  0.9765637  0.99297816 0.91720855 0.97922534 0.9933486
 0.9428548  0.9845577  0.9923324  0.9121059  0.9663621  0.9875976
 0.90198    0.9511998  0.9767669  0.9013327  0.9202227  0.94281596
 0.9634648  0.9604874  0.9225753  0.9402846  0.9704983  0.98058575
 0.9689733  0.90477645 0.9588916  0.9835106  0.9324243  0.97929525
 0.99116856 0.90092456 0.9734577  0.99264556 0.970466   0.99339324
 0.9730093  0.9939272  0.9903569  0.91956955 0.97996616 0.99368
 0.95203376 0.98552406 0.93268436 0.91579986 0.914372   0.9288966
 0.91391104 0.9553856  0.9699976  0.964766   0.904514   0.9516134
 0.9750871  0.9826868  0.9702328  0.91306144 0.96128637 0.984294
 0.9862205  0.93122464 0.9789366  0.99129224 0.9718483  0.9927058
 0.96770716 0.99334043 0.9697288  0.9938685  0.90690905 0.9770133
 0.94276625 0.92030597 0.9666741  0.90804726 0.9520469  0.9111003
 0.9280486  0.96141225 0.97045076 0.9272148  0.96305496 0.9792996
 0.9824744  0.9316196  0.9683177  0.98567486 0.94145125 0.9810306
 0.9069921  0.97394025 0.9691571  0.9702993  0.91146654 0.9444299
 0.92267317 0.9670205  0.90926576 0.9525167  0.91223586 0.9243717
 0.9542306  0.94070536 0.96916157 0.97908944 0.90919876 0.9510158
 0.9751668  0.9850589  0.9038518  0.9561561  0.9831156  0.929966
 0.97753114 0.9102478  0.9732905  0.909971   0.9305572  0.9552943
 0.93742824 0.9711823  0.9187217  0.9557289  0.90934396 0.9399408
 0.9634284  0.9328113  0.9626001  0.97572416 0.9371503  0.96715117
 0.9005267  0.9516451  0.9398094  0.9396005  0.9316738  0.91902626
 0.9550907  0.92979795 0.931827   0.95470625 0.91995233 0.95092016
 0.9362112  0.92497295 0.9253167  0.9249477  0.9389246  0.907108
 0.907871   0.9127408 ]",36,0.9005267,0.9939272,0.95406103,0.026910663
"[0.90788645 0.9147411  0.9073502  0.9229703  0.93987525 0.9258349
 0.9211708  0.94954705 0.9389871  0.9032733  0.9648531  0.92449725
 0.94031495]",41,0.9032733,0.9648531,0.9277925,0.01741426
