quality_arr,model_idx,min_quality,max_quality,mean_quality,std_quality
"[0.91736346 0.9236491  0.92385167 0.9051979  0.92038953 0.91465694
 0.9402713  0.912632   0.9172401  0.9431143  0.9160583  0.9321824
 0.9113164  0.94443715 0.9386153  0.94578755 0.9029319  0.92930794
 0.9317013  0.9390126  0.9521371  0.94151694 0.917876   0.93845135
 0.9227213  0.91920155 0.9405664  0.9245174  0.9113525  0.9133634
 0.93666404 0.92566305 0.95561993 0.93161047 0.93530166 0.94245154
 0.9419799  0.9533761  0.9267206  0.943315   0.9532186  0.92509335
 0.93946284 0.94429785 0.9253879  0.92122006 0.9310586  0.9086194
 0.95258135 0.91814953 0.9198093  0.94273967 0.9229503  0.955693
 0.9520565  0.9226623  0.9583022  0.96005833 0.9179112  0.92285144
 0.95632446 0.9561738  0.91007    0.92188215 0.94966656 0.94113946
 0.9126113  0.9321463  0.9072071  0.9198019  0.9459997  0.90260553
 0.95235586 0.923548   0.94605494 0.9526272  0.9484591  0.96695775
 0.94458354 0.9456715  0.96850854 0.9531739  0.9413428  0.9628444
 0.9435929  0.93448937 0.948442   0.9143698  0.91778743 0.91663396
 0.9061892  0.9373952  0.94494694 0.9196249  0.9318486  0.9579144
 0.92749745 0.96578324 0.96155334 0.9201806  0.96448416 0.96596605
 0.91255707 0.9569839  0.95532995 0.9030695  0.94030815 0.92528963
 0.9053001  0.92778605 0.935534   0.900136   0.9058061  0.9512503
 0.9568283  0.96612775 0.95416737 0.96918666 0.9443822  0.9575339
 0.92299384 0.9246729  0.9169385  0.9235776  0.94373775 0.9399035
 0.9679092  0.9270205  0.95530474 0.91971886 0.9292712  0.92403525
 0.96456236 0.9072433  0.95121825 0.9141901  0.91666204 0.90993714
 0.9611673  0.9471574  0.90954137 0.90910417 0.9008429  0.95944107
 0.9448349  0.9071865  0.90806574 0.9602537  0.945743   0.9095732
 0.9125503  0.9036482  0.9630215  0.94951046 0.91672015 0.9199548
 0.91246194 0.96644807 0.9546531  0.92640835 0.9282399  0.9234222
 0.96842974 0.9084131  0.9588536  0.9354584  0.9345284  0.9331195
 0.96490866 0.9227754  0.9030439  0.93863595 0.90619045 0.93700415
 0.93102187 0.9169417  0.9289037  0.9019273  0.92999184 0.9278174
 0.91667676]",44,0.900136,0.96918666,0.9334241,0.018776417
[0.9096429  0.91043603 0.9570807  0.9439268  0.93845487 0.90512055],44,0.90512055,0.9570807,0.92744356,0.019898681
